用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url
是谁偷了我的英语练习册,68,2024-10-01 20:44:47,日谷无暇15不包直出，有没有劳斯要的#赤井秀一#出物致歉,0分:0秒,5,0,12,0,0,7420787201140641081,,https://www.douyin.com/discover?modal_id=7420787201140641081
Jiaxin,478,2024-09-30 23:02:20,回复 @赤井秀一.的评论 那我可就必须继续了，我这辈子没见过长这么帅的#谢谢有被笑到 #开眼界了 #网络暖男 #素质,0分:0秒,2,0,4,0,0,7420451603724979507,,https://www.douyin.com/discover?modal_id=7420451603724979507
循环独白,57,2024-09-30 22:32:25,出出#名侦探柯南 #谷子 #柯南 #怪盗基德 #赤井秀一 @抖音热点宝,0分:0秒,21,4,6,0,0,7420443927884336420,,https://www.douyin.com/discover?modal_id=7420443927884336420
换一次,6,2024-10-01 16:37:07,出物。#名侦探柯南 #出物#灰原哀 #赤井秀一 #怪盗基德,0分:0秒,0,0,0,0,0,7420723424542215439,,https://www.douyin.com/discover?modal_id=7420723424542215439
琴酒啊！！！,43,2024-09-30 19:35:47,#名侦探柯南 #赤井秀一 #名柯漫剪,2分:27秒,15,4,4,0,0,7420398409833565449,,https://www.douyin.com/discover?modal_id=7420398409833565449
鹦鹉mrrry,878,2024-09-29 09:29:49,谈着这样的就老实了3.0#赤井秀一 #黑麦威士忌#诸星大  #冲矢昴 @DOU+小助手,0分:0秒,482,80,15,0,25,7419871130485263635,,https://www.douyin.com/discover?modal_id=7419871130485263635
TOXIC,88,2024-09-30 08:01:16,#名侦探柯南 #赤井秀一 #漫剪,0分:29秒,46,2,9,0,1,7420219373434015017,,https://www.douyin.com/discover?modal_id=7420219373434015017
道具赛开黑,279,2024-10-01 10:34:33,诸伏景光之死，黑麦和波本的误会#诸伏景光 #赤井秀一 #降谷零,2分:55秒,3,0,0,0,0,7420630014346956084,,https://www.douyin.com/discover?modal_id=7420630014346956084
赤井秀一,7541,2024-09-26 12:10:30,#人夫感 成为男人该有的样子,0分:0秒,49904,1553,1845,0,29244,7418799267625602313,,https://www.douyin.com/discover?modal_id=7418799267625602313
Jenniferli,643,2024-09-30 12:51:28,帅一脸。#向全世界安利 #硬照 #赤井秀一手办,0分:0秒,13,0,5,0,0,7420294215097224498,,https://www.douyin.com/discover?modal_id=7420294215097224498
⁺: ⁺✞ʚ灰原哀重度依赖ɞ✟,54,2024-09-30 17:50:46,谁收。#赤井秀一  #平和cp  秀和平和的胶囊吧唧,0分:0秒,2,0,4,0,0,7420371303229574437,,https://www.douyin.com/discover?modal_id=7420371303229574437
一起许愿、,42,2024-09-30 22:31:53,谁不爱？💪💪💪#名侦探柯南 #赤井秀一@抖音热点宝 @会火 @抖音创作灵感,0分:0秒,16,1,1,0,0,7420443782404984102,,https://www.douyin.com/discover?modal_id=7420443782404984102
降谷千一,58,2024-10-01 21:17:01,#安室透#赤井秀一“别那副表情嘛”,0分:0秒,2,0,1,0,0,7420795586384825638,,https://www.douyin.com/discover?modal_id=7420795586384825638
⁺✞ʚ火鸡面重度依赖ɞ✟₊,248,2024-10-01 20:51:46,在微博上刷到了 如果有侵权会删#秀朱 #秀朱cp #赤井秀一朱蒂 #名侦探柯南,0分:0秒,18,2,6,0,0,7420789067111058697,,https://www.douyin.com/discover?modal_id=7420789067111058697
出卡频道！！,23,2024-10-01 19:57:07,➗框起来的，私信喔#名侦探柯南 #安室透 #赤井秀一,0分:0秒,4,0,0,0,0,7420774990775176487,,https://www.douyin.com/discover?modal_id=7420774990775176487
是谁偷了我的英语练习册,68,2024-10-01 20:44:47,日谷无暇15不包直出，有没有劳斯要的#赤井秀一#出物致歉,0分:0秒,5,0,12,0,0,7420787201140641081,,https://www.douyin.com/discover?modal_id=7420787201140641081
Jiaxin,478,2024-09-30 23:02:20,回复 @赤井秀一.的评论 那我可就必须继续了，我这辈子没见过长这么帅的#谢谢有被笑到 #开眼界了 #网络暖男 #素质,0分:0秒,2,0,4,0,0,7420451603724979507,,https://www.douyin.com/discover?modal_id=7420451603724979507
循环独白,57,2024-09-30 22:32:25,出出#名侦探柯南 #谷子 #柯南 #怪盗基德 #赤井秀一 @抖音热点宝,0分:0秒,21,4,6,0,0,7420443927884336420,,https://www.douyin.com/discover?modal_id=7420443927884336420
换一次,6,2024-10-01 16:37:07,出物。#名侦探柯南 #出物#灰原哀 #赤井秀一 #怪盗基德,0分:0秒,0,0,0,0,0,7420723424542215439,,https://www.douyin.com/discover?modal_id=7420723424542215439
琴酒啊！！！,43,2024-09-30 19:35:47,#名侦探柯南 #赤井秀一 #名柯漫剪,2分:27秒,15,4,4,0,0,7420398409833565449,,https://www.douyin.com/discover?modal_id=7420398409833565449
鹦鹉mrrry,878,2024-09-29 09:29:49,谈着这样的就老实了3.0#赤井秀一 #黑麦威士忌#诸星大  #冲矢昴 @DOU+小助手,0分:0秒,482,80,15,0,25,7419871130485263635,,https://www.douyin.com/discover?modal_id=7419871130485263635
TOXIC,88,2024-09-30 08:01:16,#名侦探柯南 #赤井秀一 #漫剪,0分:29秒,46,2,9,0,1,7420219373434015017,,https://www.douyin.com/discover?modal_id=7420219373434015017
道具赛开黑,279,2024-10-01 10:34:33,诸伏景光之死，黑麦和波本的误会#诸伏景光 #赤井秀一 #降谷零,2分:55秒,3,0,0,0,0,7420630014346956084,,https://www.douyin.com/discover?modal_id=7420630014346956084
赤井秀一,7541,2024-09-26 12:10:30,#人夫感 成为男人该有的样子,0分:0秒,49904,1553,1845,0,29244,7418799267625602313,,https://www.douyin.com/discover?modal_id=7418799267625602313
Jenniferli,643,2024-09-30 12:51:28,帅一脸。#向全世界安利 #硬照 #赤井秀一手办,0分:0秒,13,0,5,0,0,7420294215097224498,,https://www.douyin.com/discover?modal_id=7420294215097224498
⁺: ⁺✞ʚ灰原哀重度依赖ɞ✟,54,2024-09-30 17:50:46,谁收。#赤井秀一  #平和cp  秀和平和的胶囊吧唧,0分:0秒,2,0,4,0,0,7420371303229574437,,https://www.douyin.com/discover?modal_id=7420371303229574437
